,time,open,high,low,close,%Change
384,"25-Jan-2022, 06:00:00",1842.3,1843.52,1840.84,1843.44,0.0619
385,"25-Jan-2022, 07:00:00",1843.28,1843.52,1840.84,1842.06,-0.0662
386,"25-Jan-2022, 08:00:00",1842.06,1843.12,1838.89,1839.87,-0.1189
387,"25-Jan-2022, 09:00:00",1839.87,1841.08,1838.16,1840.03,0.0087
388,"25-Jan-2022, 10:00:00",1840.03,1842.14,1838.81,1842.14,0.1147
389,"25-Jan-2022, 11:00:00",1841.98,1842.95,1840.6,1841.82,-0.0087
390,"25-Jan-2022, 12:00:00",1841.82,1842.87,1840.03,1841.41,-0.0223
391,"25-Jan-2022, 13:00:00",1841.57,1842.63,1839.54,1841.25,-0.0174
392,"25-Jan-2022, 14:00:00",1841.25,1843.2,1839.14,1840.6,-0.0353
393,"25-Jan-2022, 15:00:00",1840.35,1843.12,1837.51,1838.57,-0.0967
394,"25-Jan-2022, 16:00:00",1838.49,1839.22,1835.72,1837.75,-0.0403
395,"25-Jan-2022, 17:00:00",1837.92,1838.89,1833.86,1837.51,-0.0223
396,"25-Jan-2022, 18:00:00",1837.67,1839.54,1836.05,1837.43,-0.0131
397,"25-Jan-2022, 19:00:00",1837.43,1840.35,1836.45,1839.79,0.1284
398,"25-Jan-2022, 20:00:00",1839.62,1843.03,1836.86,1842.38,0.15
399,"25-Jan-2022, 21:00:00",1842.38,1852.7,1838.0,1850.02,0.4147
400,"25-Jan-2022, 22:00:00",1850.02,1851.16,1839.79,1846.61,-0.1843
401,"25-Jan-2022, 23:00:00",1846.69,1849.61,1844.09,1849.29,0.1408
402,"26-Jan-2022, 00:00:00",1849.21,1850.26,1846.45,1849.53,0.0173
403,"26-Jan-2022, 01:00:00",1849.53,1852.46,1848.88,1852.05,0.1363
404,"26-Jan-2022, 02:00:00",1851.89,1853.68,1850.26,1851.56,-0.0178
405,"26-Jan-2022, 03:00:00",1851.56,1851.81,1845.88,1847.1,-0.2409
406,"26-Jan-2022, 04:00:00",1847.18,1848.07,1845.96,1847.91,0.0395
407,"26-Jan-2022, 05:00:00",1847.75,1847.83,1847.58,1847.66,-0.0049
408,"26-Jan-2022, 06:00:00",1847.42,1849.94,1846.45,1849.29,0.1012
